internal,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
24,25,,-56.9291+69.9414i,,,,,,,,,,,,,,,,,,,,,,,61.0268-141.27i,-3.03741+30.6588i,,,,,,,,,,,-1.08683+42.024i,,
25,26,,,,,,,,,,,,,,,,,,,,,,,,,-3.03741+30.6588i,12.8034-133.587i,-6.42055+67.4157i,-1.89825+20.9248i,-1.44716+15.868i,,,,,,,,,,
26,27,,,,,,,,,,,,,,,,,-4.31922+57.4789i,,,,,,,,,-6.42055+67.4157i,10.7398-124.614i,,,,,,,,,,,,
27,28,,,,,,,,,,,,,,,,,,,,,,,,,,-1.89825+20.9248i,,7.986-86.071i,-6.08775+65.6607i,,,,,,,,,,
28,29,,,,,,,,,,,,,,,,,,,,,,,,,,-1.44716+15.868i,,-6.08775+65.6607i,10.6556-141.743i,,,,,,,,,-3.19872+62.375i,
29,30,,53.9011i,,,,,,,,,,,,,,,,,,,,,,,,,,,,-55.2486i,,,,,,,,,
30,31,,,,,,37.3832i,,,,,,,,,,,,,,,,,,,,,,,,,-40i,,,,,,,,
31,32,,,,,,,,,,46.729i,,,,,,,,,,,,,,,,,,,,,,-50i,,,,,,,
32,33,,,,,,,,,,,,,,,,,,,-3.23656+65.6559i,,,,,,,,,,,,,,3.46312-70.2518i,,,,,,
33,34,,,,,,,,,,,,,,,,,,,,-2.74614+54.9227i,,,,,,,,,,,,,,2.77085-55.417i,,,,,
34,35,,,,,,,,,,,,,,,,,,,,,,68.2245i,,,,,,,,,,,,,-69.9301i,,,,
35,36,,,,,,,,,,,,,,,,,,,,,,,-0.675594+36.7523i,,,,,,,,,,,,,0.675594-36.7523i,,,
36,37,,,,,,,,,,,,,,,,,,,,,,,,,-1.08683+42.024i,,,,,,,,,,,,1.114-43.0746i,,
37,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.19872+62.375i,,,,,,,,,3.27869-63.9344i,
38,39,-1.59744+39.9361i,,,,,,,,-1.59744+39.9361i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19489-78.8972i
